Salary Estimate,Rating,Company Name,Location,Size,Industry,Sector,Job State,Job Simplified,Vader
212500.0,4.1,Bloomberg,"Middletown, CT",10000+,Computer Hardware Development,Information Technology,CT,data scientist,0.34
212500.0,4.1,Bloomberg,"Middletown, CT",10000+,Computer Hardware Development,Information Technology,CT,data scientist,0.34
87785.0,3.2,Hertz,"Estero, FL",10000+,Car & Truck Rental,Transportation & Logistics,FL,data scientist,0.39
110398.0,3.2,Hertz,"Estero, FL",10000+,Car & Truck Rental,Transportation & Logistics,FL,data scientist,0.34
105186.0,3.8,Unum,"Atlanta, GA",5001 - 10000,Insurance Carriers,Insurance,GA,analyst,0.41
82955.0,3.5,Mercy,"Chesterfield, MO",10000+,Health Care Services & Hospitals,Healthcare,MO,data scientist,0.59
125000.0,4.8,"Swanktek, Inc","Austin, TX",1 - 50,Information Technology Support Services,Information Technology,TX,data scientist,0.06
121209.0,4.4,Lawrence Livermore National Laboratory,"Livermore, CA",5001 - 10000,National Agencies,Government & Public Administration,CA,data scientist,0.7
110000.0,3.9,Augmedix Inc.,Remote,501 - 1000,Health Care Services & Hospitals,Healthcare,Remote,data scientist,0.49
134586.0,4.2,Chegg,"Santa Clara, CA",1001 - 5000,Internet & Web Services,Information Technology,CA,mle,0.27
117711.0,4.0,LeewayHertz,"San Francisco, CA",51 - 200,Computer Hardware Development,Information Technology,CA,mle,0.08
111446.0,-1.0,Swanktek,"Austin, TX",1 - 50,Information Technology Support Services,Information Technology,TX,data scientist,0.06
212500.0,4.5,"Gametime United, Inc.",Remote,51 - 200,Ticket Sales,"Arts, Entertainment & Recreation",Remote,mle,0.41
117041.0,4.1,Deloitte,"Rosslyn, VA",10000+,Accounting & Tax,Financial Services,VA,mle,0.39
120000.0,3.6,Gloo,"Boulder, CO",51 - 200,Enterprise Software & Network Solutions,Information Technology,CO,data scientist,0.54
108421.0,3.9,Nissan,"Franklin, TN",10000+,Transportation Equipment Manufacturing,Manufacturing,TN,data scientist,0.32
61160.0,3.2,Hertz,"Estero, FL",10000+,Car & Truck Rental,Transportation & Logistics,FL,data scientist,0.46
110591.0,3.8,Amazon.com Services LLC,"Boston, MA",10000+,Internet & Web Services,Information Technology,MA,data scientist,0.42
125559.0,3.9,Verizon,"Boston, MA",10000+,Telecommunications Services,Telecommunications,MA,data scientist,0.27
156900.0,2.7,Automobile Club of Southern California,"Costa Mesa, CA",5001 - 10000,Insurance Carriers,Insurance,CA,data scientist,0.21
94895.0,3.9,EBSCO Information Services,Massachusetts,1001 - 5000,Information Technology Support Services,Information Technology,MA,data scientist,0.43
165350.0,4.4,Adobe,"San Jose, CA",10000+,Computer Hardware Development,Information Technology,CA,mle,0.22
155000.0,3.6,Loop,"San Francisco, CA",51 - 200,Internet & Web Services,Information Technology,CA,mle,0.09
175500.0,4.5,Nova Credit,"New York, NY",51 - 200,Enterprise Software & Network Solutions,Information Technology,NY,data scientist,0.48
152650.0,4.2,Booz Allen Hamilton,"Bethesda, MD",10000+,Business Consulting,Management & Consulting,MD,mle,0.35
142830.0,4.3,Netflix,"Los Gatos, CA",5001 - 10000,Internet & Web Services,Information Technology,CA,mle,0.34
119831.0,3.9,John Hancock,"Boston, MA",1001 - 5000,Insurance Carriers,Insurance,MA,mle,0.51
105703.0,3.9,Verizon,"Boston, MA",10000+,Telecommunications Services,Telecommunications,MA,data scientist,0.32
134500.0,3.8,Annapurna Labs (U.S.) Inc.,"Cupertino, CA",10000+,Internet & Web Services,Information Technology,CA,mle,0.37
172000.0,4.0,Devoted Health,Remote,1001 - 5000,Health Care Services & Hospitals,Healthcare,Remote,data scientist,0.53
109578.0,3.9,UBS,"Chicago, IL",10000+,Investment & Asset Management,Financial Services,IL,data scientist,0.45
92500.0,3.6,Illumination Works,Remote,51 - 200,Information Technology Support Services,Information Technology,Remote,data scientist,0.42
144025.0,4.2,"Viasat, Inc.",California,5001 - 10000,Telecommunications Services,Telecommunications,CA,data scientist,0.31
175403.0,4.2,Agilent Technologies Inc.,Texas,10000+,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,TX,mle,0.49
240500.0,3.8,Snapchat,"Palo Alto, CA",5001 - 10000,Computer Hardware Development,Information Technology,CA,data scientist,0.54
110761.0,3.7,Cambridge Technology Inc.,"Kansas City, MO",201 - 500,Information Technology Support Services,Information Technology,MO,analyst,0.34
86902.0,3.7,ICF,"Rockville, MD",5001 - 10000,Business Consulting,Management & Consulting,MD,data scientist,0.36
84097.0,4.8,cBEYONData,"Fort Belvoir, VA",201 - 500,Information Technology Support Services,Information Technology,VA,data scientist,0.38
88146.0,3.1,Generac Power Systems,"Pewaukee, WI",1001 - 5000,Consumer Product Manufacturing,Manufacturing,WI,data scientist,0.46
120000.0,3.6,The Intersect Group,"Wooster, OH",201 - 500,Staffing & Subcontracting,Human Resources & Staffing,OH,data scientist,0.54
114503.0,4.1,ALTA IT Services,"Vienna, VA",201 - 500,Information Technology Support Services,Information Technology,VA,mle,0.27
67652.0,3.9,"Metron, Inc.","Reston, VA",201 - 500,Research & Development,Management & Consulting,VA,data scientist,0.61
101870.0,3.9,Bristol Myers Squibb,"San Diego, CA",10000+,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,CA,data scientist,0.36
180000.0,3.2,The Josef Group Inc.,"Annapolis Junction, MD",1001 - 5000,Security & Protective,Management & Consulting,MD,data scientist,0.35
105320.0,3.9,Altria,"Richmond, VA",5001 - 10000,Consumer Product Manufacturing,Manufacturing,VA,data scientist,0.31
86319.0,3.7,REV Federal Credit Union,"Summerville, SC",51 - 200,Investment & Asset Management,Financial Services,SC,analyst,0.39
128349.0,3.9,Bristol Myers Squibb,"Princeton, NJ",10000+,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,NJ,data architect,0.33
122841.0,3.9,Bristol Myers Squibb,"Princeton, NJ",10000+,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,NJ,data scientist,0.38
125000.0,4.3,CyberCoders,"Raleigh, NC",201 - 500,Staffing & Subcontracting,Human Resources & Staffing,NC,mle,0.37
72500.0,4.4,Veteran Engineering and Technology,"Washington, DC",1 - 50,National Agencies,Government & Public Administration,DC,statistician,0.31
93429.0,4.1,Claritas Llc,"Cincinnati, OH",201 - 500,Advertising & Public Relations,Media & Communication,OH,data scientist,0.64
104307.0,4.2,Hyperspace Ventures,"Durham, NC",1 - 50,Internet & Web Services,Information Technology,NC,data scientist,0.51
77360.0,4.7,Interclypse Inc,"Reston, VA",51 - 200,Software Development,Information Technology,VA,data scientist,0.44
120789.0,3.9,UST,"Santa Clara, CA",10000+,Information Technology Support Services,Information Technology,CA,data scientist,0.39
145000.0,4.0,Devoted Health,Remote,1001 - 5000,Health Care Services & Hospitals,Healthcare,Remote,data scientist,0.58
106442.0,4.5,Steampunk,"McLean, VA",201 - 500,Information Technology Support Services,Information Technology,VA,data scientist,0.38
106240.0,1.0,Global Partnership Schools,"Washington, DC",1 - 50,Colleges & Universities,Education,DC,data scientist,0.0
140000.0,4.0,etrailer.com,Remote,501 - 1000,Automotive Parts & Accessories Stores,Retail & Wholesale,Remote,data engineer,0.24
113258.0,3.8,SRI International,"Arlington, VA",1001 - 5000,Research & Development,Management & Consulting,VA,data scientist,0.34
121959.0,4.5,Techflairs,Remote,1 - 50,Information Technology Support Services,Information Technology,Remote,data scientist,0.5
97061.0,3.9,managementsolutions,"York, NY",1001 - 5000,Business Consulting,Management & Consulting,NY,data scientist,0.35
121220.0,4.3,Juniper Networks,"Westford, MA",5001 - 10000,Telecommunications Services,Telecommunications,MA,data scientist,0.31
91050.0,-1.0,Softinc,"Melville, NY",1 - 50,Information Technology Support Services,Information Technology,NY,data scientist,0.28
106885.0,4.4,Elder Research Inc,"Raleigh, NC",51 - 200,Business Consulting,Management & Consulting,NC,data scientist,0.37
113924.0,4.3,Georgia Tech,"Atlanta, GA",5001 - 10000,Colleges & Universities,Education,GA,data scientist,0.22
232752.0,4.2,The Aerospace Corporation,"Chantilly, VA",1001 - 5000,Aerospace & Defense,Aerospace & Defense,VA,data scientist,0.46
115000.0,2.8,Success Academy,"New York, NY",1001 - 5000,Primary & Secondary Schools,Education,NY,data scientist,0.55
85000.0,5.0,Montage Marketing Group,"Washington, DC",1 - 50,Advertising & Public Relations,Media & Communication,DC,data scientist,0.29
94718.0,3.5,National Committee for Quality Assurance,"Washington, DC",201 - 500,Health Care Services & Hospitals,Healthcare,DC,data scientist,0.35
106510.0,3.6,Abiomed,"Danvers, MA",1001 - 5000,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,MA,data scientist,0.4
103235.0,3.8,SimpliSafe,"Boston, MA",1001 - 5000,Computer Hardware Development,Information Technology,MA,data scientist,0.45
738400.0,4.0,"Sunrise Systems, Inc","Miami, FL",501 - 1000,Information Technology Support Services,Information Technology,FL,analyst,0.15
128357.0,4.6,Snorkel AI,"Redwood City, CA",51 - 200,Enterprise Software & Network Solutions,Information Technology,CA,mle,0.41
124155.0,4.4,Focal Systems,"Burlingame, CA",1 - 50,Computer Hardware Development,Information Technology,CA,data scientist,0.49
127100.0,3.8,Cigna,"Bloomfield, CT",10000+,Health Care Services & Hospitals,Healthcare,CT,data scientist,0.48
141737.0,4.5,Akamai,"Cambridge, MA",5001 - 10000,Information Technology Support Services,Information Technology,MA,data scientist,0.52
94109.0,3.9,Verizon,"Lake Mary, FL",10000+,Telecommunications Services,Telecommunications,FL,data scientist,0.32
142650.0,3.7,Guidehouse,"Atlanta, GA",1001 - 5000,Business Consulting,Management & Consulting,GA,data scientist,0.47
87655.0,4.4,"iClassPro, Inc.","Longview, TX",1 - 50,Computer Hardware Development,Information Technology,TX,analyst,0.3
79087.0,3.4,Konica Minolta,"Ramsey, NJ",10000+,Computer Hardware Development,Information Technology,NJ,analyst,0.71
152650.0,4.2,Booz Allen Hamilton,"Huntsville, AL",10000+,Business Consulting,Management & Consulting,AL,data scientist,0.39
103354.0,4.1,Takeda Pharmaceutical,"Social Circle, GA",10000+,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,GA,data scientist,0.32
167250.0,4.0,"The Travelers Companies, Inc.","Hartford, CT",10000+,Insurance Carriers,Insurance,CT,data engineer,0.35
101737.0,3.7,Teacher Retirement System of Texas,"Austin, TX",501 - 1000,Investment & Asset Management,Financial Services,TX,data engineer,0.26
124350.0,4.1,Navy Federal Credit Union,"Vienna, VA",10000+,Banking & Lending,Financial Services,VA,data engineer,0.3
136000.0,3.8,Amazon.com Services LLC,"Palo Alto, CA",10000+,Internet & Web Services,Information Technology,CA,data scientist,0.31
167000.0,3.9,Verizon,"New York, NY",10000+,Telecommunications Services,Telecommunications,NY,data scientist,0.32
147500.0,4.3,Sony Electronics,"San Jose, CA",10000+,Consumer Product Manufacturing,Manufacturing,CA,mle,0.29
89733.0,3.8,Cognizant Technology Solutions,"Chester Springs, PA",10000+,Information Technology Support Services,Information Technology,PA,data scientist,0.46
120000.0,3.9,Leidos,"San Diego, CA",10000+,Aerospace & Defense,Aerospace & Defense,CA,mle,0.46
148800.0,4.0,"The Travelers Companies, Inc.","Hartford, CT",10000+,Insurance Carriers,Insurance,CT,data scientist,0.55
119500.0,4.2,Booz Allen Hamilton,"Huntsville, AL",10000+,Business Consulting,Management & Consulting,AL,data scientist,0.4
152650.0,4.2,Booz Allen Hamilton,"Washington, DC",10000+,Business Consulting,Management & Consulting,DC,data engineer,0.39
118940.0,3.7,Elevance Health,"Mason, OH",10000+,Health Care Services & Hospitals,Healthcare,OH,data scientist,0.28
152650.0,4.2,Booz Allen Hamilton,"Springfield, VA",10000+,Business Consulting,Management & Consulting,VA,data scientist,0.49
116500.0,3.9,Citi,"Wilmington, DE",10000+,Investment & Asset Management,Financial Services,DE,data scientist,0.09
125574.0,3.7,Elevance Health,"Chicago, IL",10000+,Health Care Services & Hospitals,Healthcare,IL,mle,0.42
112500.0,3.8,JMS Technical Solutions,Remote,1 - 50,HR Consulting,Human Resources & Staffing,Remote,data scientist,0.62
101938.0,3.8,Cognizant Technology Solutions,"Plano, TX",10000+,Information Technology Support Services,Information Technology,TX,data scientist,0.36
84702.0,3.4,Global Data Consultants,"Carlisle, PA",201 - 500,Information Technology Support Services,Information Technology,PA,data scientist,0.42
105893.0,4.1,Deloitte,"Rosslyn, VA",10000+,Accounting & Tax,Financial Services,VA,data scientist,0.29
85600.0,3.7,IGT International Game Technology,Remote,10000+,Gambling,"Arts, Entertainment & Recreation",Remote,data scientist,0.51
988000.0,4.6,Plaxonic,"Austin, TX",51 - 200,Information Technology Support Services,Information Technology,TX,data scientist,0.0
122582.0,3.1,WALGREENS,"Deerfield, IL",10000+,Drug & Health Stores,Retail & Wholesale,IL,data scientist,0.17
97800.0,3.5,Lowe's,"Mooresville, NC",1001 - 5000,Home Furniture & Housewares Stores,Retail & Wholesale,NC,data scientist,0.34
93125.0,3.8,Thermo Fisher Scientific,"Carlsbad, CA",10000+,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,CA,data scientist,0.37
89299.0,3.9,The Hershey Company,"Hershey, PA",10000+,Food & Beverage Manufacturing,Manufacturing,PA,data scientist,0.43
89477.0,4.4,MIT,"Cambridge, MA",10000+,Colleges & Universities,Education,MA,data scientist,0.2
92581.0,4.0,Veracity Software,"Iselin, NJ",51 - 200,Information Technology Support Services,Information Technology,NJ,data scientist,0.49
95000.0,4.1,ECS Federal,Remote,201 - 500,Business Consulting,Management & Consulting,Remote,analyst,0.5
104894.0,2.2,Source Enterprises,"New York, NY",51 - 200,Publishing,Media & Communication,NY,data scientist,0.43
87500.0,3.9,Digitas,"New York, NY",5001 - 10000,Advertising & Public Relations,Media & Communication,NY,data scientist,0.22
106973.0,3.1,WALGREENS,"Deerfield, IL",10000+,Drug & Health Stores,Retail & Wholesale,IL,mle,0.41
769600.0,4.6,BroadStaff Inc.,"Irvine, CA",51 - 200,Telecommunications Services,Telecommunications,CA,analyst,0.34
130000.0,3.9,Vectrus,"King George, VA",10000+,Aerospace & Defense,Aerospace & Defense,VA,mle,0.32
99288.0,4.7,Quiet Professionals LLC,"Tampa, FL",201 - 500,Aerospace & Defense,Aerospace & Defense,FL,data scientist,0.22
634400.0,4.6,BroadStaff Inc.,"Canonsburg, PA",51 - 200,Telecommunications Services,Telecommunications,PA,analyst,0.28
120000.0,3.7,Devcare Solutions,Remote,51 - 200,Information Technology Support Services,Information Technology,Remote,data scientist,0.4
95000.0,4.8,Polco,Remote,51 - 200,Municipal Agencies,Government & Public Administration,Remote,data scientist,0.58
140000.0,4.3,Fusion Medical Staffing,"Omaha, NE",201 - 500,Health Care Services & Hospitals,Healthcare,NE,data engineer,0.46
150000.0,3.7,Strategic Employment,"Boulder, CO",51 - 200,HR Consulting,Human Resources & Staffing,CO,data scientist,0.37
98565.0,3.4,Rocket Pharmaceuticals,"Cranbury, NJ",51 - 200,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,NJ,data scientist,0.26
101124.0,4.4,Vetegrity,"Fort Meade, MD",1 - 50,Information Technology Support Services,Information Technology,MD,data scientist,0.5
112675.0,3.7,Guidehouse,"Arlington, VA",1001 - 5000,Business Consulting,Management & Consulting,VA,data scientist,0.38
115847.0,4.0,Saab Inc.,"West Lafayette, IN",1001 - 5000,Aerospace & Defense,Aerospace & Defense,IN,mle,0.28
97622.0,3.7,Guidehouse,"Huntsville, AL",1001 - 5000,Business Consulting,Management & Consulting,AL,data engineer,0.37
101890.0,5.0,Penfield Search Partners,"Parsippany, NJ",1 - 50,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,NJ,data scientist,0.4
158250.0,4.1,Takeda Pharmaceutical,"Boston, MA",10000+,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,MA,data scientist,0.42
115158.0,3.7,Guidehouse,"Springfield, VA",1001 - 5000,Business Consulting,Management & Consulting,VA,statistician,0.36
166600.0,4.1,Takeda Pharmaceutical,"Boston, MA",10000+,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,MA,data scientist,0.49
122828.0,3.4,MAPFRE,"Boston, MA",1001 - 5000,Insurance Carriers,Insurance,MA,data scientist,0.35
94272.0,3.5,Hayward Industries,"Charlotte, NC",1001 - 5000,Consumer Product Manufacturing,Manufacturing,NC,data engineer,0.35
124100.0,4.1,Takeda Pharmaceutical,"Boston, MA",10000+,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,MA,data scientist,0.44
236000.0,4.1,Takeda Pharmaceutical,"Boston, MA",10000+,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,MA,data scientist,0.37
102500.0,3.1,Fora Financial LLC,"Miami, FL",51 - 200,Banking & Lending,Financial Services,FL,analyst,0.3
229000.0,3.8,Peloton,"Santa Clara, CA",1 - 50,Shipping & Trucking,Transportation & Logistics,CA,mle,0.38
194500.0,4.1,Takeda Pharmaceutical,"Boston, MA",10000+,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,MA,data scientist,0.43
104194.0,3.4,Topaz Labs,"Dallas, TX",1 - 50,Software Development,Information Technology,TX,data scientist,0.39
105976.0,3.9,Epsilon,"Chicago, IL",5001 - 10000,Advertising & Public Relations,Media & Communication,IL,data scientist,0.39
100882.0,3.7,Guidehouse,"Arlington, VA",1001 - 5000,Business Consulting,Management & Consulting,VA,data engineer,0.27
135000.0,4.1,DW Simpson,"Hartford, CT",51 - 200,HR Consulting,Human Resources & Staffing,CT,data scientist,0.16
105523.0,3.7,Guidehouse,"Washington, DC",1001 - 5000,Business Consulting,Management & Consulting,DC,data scientist,0.39
166600.0,4.1,Takeda Pharmaceutical,"Boston, MA",10000+,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,MA,data scientist,0.28
160000.0,4.3,Horizon Therapeutics,"Rockville, MD",501 - 1000,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,MD,data scientist,0.43
124261.0,4.1,Takeda Pharmaceutical,"Lexington, MA",10000+,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,MA,data scientist,0.25
82662.0,3.4,Global Data Consultants,"Carlisle, PA",201 - 500,Information Technology Support Services,Information Technology,PA,data engineer,0.44
91653.0,3.4,"Servpro Industries, LLC","Gallatin, TN",201 - 500,Building & Personnel Services,Management & Consulting,TN,data scientist,0.45
89373.0,4.1,"Modular Mining Systems, Inc","Tucson, AZ",501 - 1000,Computer Hardware Development,Information Technology,AZ,data scientist,0.46
89373.0,3.8,Ahlstrom,"Kaukauna, WI",5001 - 10000,Consumer Product Manufacturing,Manufacturing,WI,data scientist,0.32
152650.0,4.2,Booz Allen Hamilton,"Springfield, VA",10000+,Business Consulting,Management & Consulting,VA,data scientist,0.4
120000.0,4.2,Rockefeller University,"New York, NY",1001 - 5000,Colleges & Universities,Education,NY,data scientist,0.32
121000.0,3.2,Cottonwood Financial,"Irving, TX",501 - 1000,Banking & Lending,Financial Services,TX,data scientist,0.6
83505.0,4.6,Strativia,"Washington, DC",51 - 200,National Agencies,Government & Public Administration,DC,analyst,0.47
123464.0,4.1,ALTA IT Services,"Washington, DC",201 - 500,Information Technology Support Services,Information Technology,DC,data architect,0.13
143100.0,4.1,Navy Federal Credit Union,"Winchester, VA",10000+,Banking & Lending,Financial Services,VA,data engineer,0.32
130000.0,4.5,Liberty Personnel Services,"Philadelphia, PA",1 - 50,HR Consulting,Human Resources & Staffing,PA,data scientist,0.12
175500.0,4.4,Ayahealthcare,Oregon,5001 - 10000,HR Consulting,Human Resources & Staffing,OR,mle,0.4
150000.0,3.7,VORTO,"Denver, CO",201 - 500,Shipping & Trucking,Transportation & Logistics,CO,data scientist,0.39
120353.0,4.0,HCSC,"Chicago, IL",10000+,Insurance Carriers,Insurance,IL,data scientist,0.22
132476.0,3.8,Medifast Inc,"Baltimore, MD",1001 - 5000,Beauty & Wellness,Personal Consumer Services,MD,data scientist,0.59
115625.0,3.6,Jazz Pharmaceuticals,"Palo Alto, CA",1001 - 5000,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,CA,data scientist,0.33
148800.0,4.0,"The Travelers Companies, Inc.","Hartford, CT",10000+,Insurance Carriers,Insurance,CT,data scientist,0.52
