Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Industry,Sector,Revenue,Job State,Job Simplified,Seniority,Vader
 Modeling greenhouse gas emissions from the rig fleet to reduce environmental impact and improve reporting
 Designing drilling advisory systems to improve drilling efficiency
 Developing automated monitoring, detection, and alerting of operational events",3.7,Patterson-UTI,"Houston, TX",1001 - 5000,Energy & Utilities,"Energy, Mining & Utilities",500 - 1000,TX,data scientist,,0.82

Sr. Data Analyst (Secret Clearance Required),80000,"InfiNetix is seeking a Senior Data Analyst with an ACTIVE Secret clearance who can do it all - design, build, integrate, maintain, automate, and administer business visualizations/dashboards/reports/KPIs. Your expertise should include Microsoft Azure data warehouse solutions, Microsoft BI technologies including SQL server, Power BI reports, Power BI paginated reports, Excel, Tableau, data analytics, and visualization. Ultimately, we're looking for someone who can help us improve customer experience through top-notch data analysis and reporting services. If you have experience in AI/ML, that's definitely a plus.
 This opportunity can be executed as a full-time W2 position and is fully remote. Ideally the candidate resides in the DC, MD, VA area.
 **All candidates must be U.S. Citizens and have an ACTIVE Secret clearance.**
 All infiNetix candidates should possess the following soft skills:",-1.0,"InfiNetix, Inc.","Washington, DC",,,,,DC,analyst,senior,0.45

Senior Healthcare Data Analyst,77143,"Our patients are our number one priority! We're committed to giving children back their childhood!
 Job Posting Title:
 Senior Healthcare Data Analyst
 Location:
 Dallas - Hospital
 Additional Posting Details:
 Full-time, 40 hours per week. Monday-Friday.
 Hybrid position requiring onsite workdays based on department needs.
 Job Description:
 Duties/Responsibilities
 Query healthcare data from multiple sources including electronic medical records, patient experience surveys, claims, and administrative systems to discover meaningful analytical insights for clinical, business, and strategic initiatives.",3.9,Scottish Rite for Children,"Dallas, TX",1001 - 5000,Health Care Services & Hospitals,Healthcare,,TX,analyst,senior,0.18

Data Scientist,98663,"The Data Scientist is responsible for generating insights and recommendations from Hertz’s rich history of observational data. Working closely with management and senior level data scientists, the Data Scientist will build descriptive, predictive, and prescriptive models with the ultimate goal of maximizing profit and gaining a competitive advantage in the market.
 Curate data from many sources including internal databases and external APIs, and aggregate data to a format appropriate for building descriptive reports, optimization or predictive models
 Solve complex analytical problems using quantitative approaches using unique blend of technical, mathematical, analytical and data skills
 Use deep understanding of statistical and predictive modeling concepts, machine learning approaches, simulation, optimization models and algorithms, clustering and classification and recommendation techniques
 Integrate, store, and analyze large, complex multi-dimensional data sets with variety of tools
 
 
 
 The Hertz Corporation operates the Hertz, Dollar Car Rental, Thrifty Car Rental brands in approximately 9,700 corporate and franchisee locations throughout North America, Europe, The Caribbean, Latin America, Africa, the Middle East, Asia, Australia and New Zealand. The Hertz Corporation is one of the largest worldwide airport general use vehicle rental companies, and the Hertz brand is one of the most recognized in the world.",3.2,Hertz,"Estero, FL",10000+,Car & Truck Rental,Transportation & Logistics,5000 - 10000,FL,data scientist,,0.51

Predictive Modeler,65000,"Sitewise Analytics is a recognized, boutique, customer-centric company that has been on the North American commercial real estate scene providing predictive analytics software and solutions since 2012. Industry-leading corporations and franchisors partner with Sitewise Analytics to work out varied business questions from sales forecasting and sales impact assessment, to portfolio optimization and whitespace analysis. Clients include Burger King, Wingstop, Lululemon, The North Face, Aspen Dental, Banfield Pet Hospitals and many other organizations in the restaurant, retail and healthcare sectors.
 This role will be based at Sitewise Analytics’ office in Plano, TX, along with other members of the Predictive Analytics Team. The Team uses a hybrid model of working from home and at the office. The company’s owners intentionally facilitate an extraordinary environment that engages employees to stretch, grow and deliver outstanding business support services to customers. At the heart of Sitewise Analytics is a nimble, diverse, motivated and passionate Predictive Analytics Team. The members of the team interact directly with decision-makers at several levels within client companies. Using a dynamic mix of machine learning approaches blended with classical statistical techniques and spatial analytics, the members of the team develop predictive models and provide strategic advice to decision-makers in customer organizations. As a result of successful growth, the Sitewise Analytics Team is delightfully expanding to include another Senior Predictive Modeler.",-1.0,Sitewise Analytics,"Dallas, TX",,,,,TX,data scientist,,0.35

Senior Data Analyst - Chief of Naval Operations (OPNAV),111495,"Synchron is seeking a qualified candidate to support the Navy’s OPNAV N81 Division. The Senior Data Analyst will assist N81 with responsibilities inherent within the OPNAV PPBE process as it pertains to N81. The N81 Assessment Division is responsible for providing the CNO with analytic capabilities to evaluate the relative capabilities, effectiveness, costs and risks of alternative programs and proposals. The Division provides advice to senior Navy leadership on all programmatic and policy issues and helps to structure the decision-making process. The Director serves as an independent assessor providing a broad-view perspective across the Navy staff apart from Resource Sponsors, with an integrated look at both war fighting and war fighting support programs. The Senior Data Analyst will assist in the development and balancing of Navy equities throughout the DoN Program Objective Memorandum (POM) process and with the annual DoD budget submitted to Congress.
 The Senior Data Analyst shall:
 Have experience serving in the Navy or within the OPNAV staff.",4.1,"Synchron, LLC","Washington, DC",1 - 50,,,1 - 5,DC,analyst,senior,-0.01

Senior Data Scientist - Oil and Gas Sector,99160,"Patterson-UTI DrillingThe New Standard for Drilling Performance
 Drill safer, smarter and faster with Patterson-UTI Drilling’s comprehensive fleet of pad-capable rigs featuring advanced walking systems to enhance your operations so you can reach your apex.
 Patterson-UTI’s Data Science team is a growing group of energetic, passionate individuals working to improve and inform the Company through data. We work exclusively with the Drilling Automation team to help design, evaluate, and improve novel drilling automation technology.
 Some example projects that we are applying analytics and data science to include:
 Modeling greenhouse gas emissions from the rig fleet to reduce environmental impact and improve reporting
 Designing drilling advisory systems to improve drilling efficiency",3.7,Patterson-UTI,"Houston, TX",1001 - 5000,Energy & Utilities,"Energy, Mining & Utilities",500 - 1000,TX,data scientist,senior,0.82

Energy Data Science Co-op,92554,"Company Description
 
 ABOUT:
 A subsidiary of Veolia group, Veolia North America (VNA) offers a full spectrum of water, waste and energy management services, including water and wastewater treatment, commercial and hazardous waste collection and disposal, energy consulting and resource recovery. VNA helps commercial, industrial, healthcare, higher education and municipality customers throughout North America. Headquartered in Boston, Mass., Veolia North America has more than 10,000 employees working at more than 350 locations across the continent. Please visit our website www.veolianorthamerica.com
 
 Job Description",3.8,Veolia,"Boston, MA",10000+,Energy & Utilities,"Energy, Mining & Utilities",1000 - 5000,MA,data scientist,,0.09

Senior Data Scientist,141056,"The Aerospace Corporation is the trusted partner to the nation’s space programs, solving the hardest problems and providing unmatched technical expertise. As the operator of a federally funded research and development center (FFRDC), we are broadly engaged across all aspects of space— delivering innovative solutions that span satellite, launch, ground, and cyber systems for defense, civil and commercial customers. When you join our team, you’ll be part of a special collection of problem solvers, thought leaders, and innovators. Join us and take your place in space.
 At Aerospace, we are committed to providing an inclusive and diverse workplace for all employees to share in our common passion and aspiration – to carry out a mission much bigger than ourselves.
 Job Description
 Information Systems and Cyber Division (ISCD) staff couple the latest in information system technologies, such as elastic compute clouds, containerization, microservices, real-time operating systems, and visualization frameworks, with expertise in cyber security, software architecture, software engineering, process improvement, software development, data science, and machine learning to deliver responsive, resilient, high-performance software intensive systems to our IC, DoD, and civilian customers.",4.2,The Aerospace Corporation,"Chantilly, VA",1001 - 5000,Aerospace & Defense,Aerospace & Defense,1000 - 5000,VA,data scientist,senior,0.54

People Analytics - Data Science & Reporting Analyst,125166,"The D. E. Shaw group seeks a data science and reporting analyst to join its Human Capital Analytics and Products (HCAP) team. Members of HCAP are curators of employee data and leverage it to help answer strategic and operational talent questions for leaders across the business. This role offers the opportunity to work in an inclusive, engaging, and collaborative working environment.",4.5,"D. E. Shaw & Co., L.P.","New York, NY",1001 - 5000,Investment & Asset Management,Financial Services,,NY,analyst,,0.53

Predictive Analytics Modeler,60000,"The Predictive Analytics Modeler will focus on developing solutions throughout the organization to help drive strategic decisions for operations. The modeler will work on a wide variety of challenges which include solutions for all aspects of website success. In addition to standard forms of advanced analytics, the modeler will also explore the development of predictive models with machine learning and artificial intelligence.
 Essential Duties and Responsibilities:
 Develops and maintains predictive analytics/modeling efforts and uses of analytics/modeling programs.
 Designs models, coordinates data pulls, prepares/validates data, performs and validates the modeling and analysis, effectively communicates findings and provides actionable recommendations.",3.7,LegalMatch,"Reno, NV",51 - 200,Legal,Legal,25 - 100,NV,data scientist,,0.5

"Sr Data Analyst, AMERICAS",105000,"Hi! We are Smart!
 *
 Smart is an AdTech leader created in 2001 on the belief that we can disrupt the on-line advertising industry.
 *
 *
 Headquartered in the heart of Paris and with offices in 12 countries, Smart provides cutting-edge technologies that help hundreds of prestigious customers take back control and maximize their digital revenues with a flexible and transparent audience monetization platform.
 *
 *
 We can rely on a unique group of 280+ Smarties focused on excellence to shape our future. They continually embrace change and overcome challenges together to make innovation happen. That means we can offer you endless opportunities to do the same and let you shape the world you want!
 *
 *",4.5,Smart AdServer,Manhattan,501 - 1000,Information Technology Support Services,Information Technology,,NY,analyst,senior,0.49

AI Engineer - Call Center Operations - Hybrid Schedule,73162,"AI Engineer - Call Center Operations - Hybrid Schedule
 As our AI Engineer, you will support call center operations by building applications that help customers easily reach the departments they’re looking for and by helping customer service agents quickly retrieve the data they need to help the customer. You’ll do this through customer-facing natural language software and through agent-facing chatbots. You can work with both vendors and vice presidents and are comfortable working with a hybrid remote team split between California and Texas.
 What You’ll Do
 You’ll be coding as part of a team in two-week sprints to move projects bringing our call centers into a more modern user experience while also fielding problems from operations and product owners as they pop up.
 You may be asked to represent the team in meetings with business units inside the company and with vendors.
 
 AAA Texas is part of the largest federation of AAA clubs in the nation. We have 14,000 employees in 21 states helping 17 million members. The strength of our organization is our employees. Bringing together and supporting different cultures, backgrounds, personalities, and strengths creates a team capable of delivering legendary, lifetime service to our members. When we embrace our diversity – we win. All of Us! With our national brand recognition, long-standing reputation since 1902, and constantly growing membership, we are seeking career-minded, service-driven professionals to join our team",3.0,AAA Texas,"Coppell, TX",5001 - 10000,Membership Organizations,Management & Consulting,5 - 25,TX,data scientist,,0.35

AI/ML Autonomous Vehicle Software Video Analyst,561600,"Kett Engineering is seeking AI / ML Autonomous Vehicle Software Video Data Analysts to work with our customer on an exciting technology forward program.
 As part of the Triage team, you will analyze video data from hardware and software test to accelerate the development of the next big thing. If you thrive in a high-paced systems development environment, are excited to learn about and tackle ever-evolving software and hardware challenges, and want to help grow a software triage team, then this is a role you should be interested in.
 
 Necessary Qualifications:
 Ability to understand triage outcomes of software/hardware test experiments and classify issues according to defined classification systems
 Strong written and verbal communication skills to concisely and precisely describe experiment outcomes
 Flexible and resourceful in acquiring new skills upon demand
 Good analytical and observational skills; must be detail oriented",3.1,Kett Engineering Corporation,"Santa Clara, CA",501 - 1000,Accounting & Tax,Financial Services,25 - 100,CA,analyst,,0.54

Regulatory & Statistical Reporting Analyst,70624,"Job Information
 Job Title
 
 Regulatory and Statistical Reporting Analyst
 
 Home Department:
 
 Insurance Product Development",3.8,Society Insurance Company,"Fond du Lac, WI",201 - 500,Insurance Carriers,Insurance,100 - 500,WI,analyst,,0.0

"Data Science Associate, Evaluation",72500,"HCZ requires all employees to be fully vaccinated against COVID-19 as a condition of employment. Accordingly, successful candidates must be fully vaccinated against COVID-19 and submit proof of vaccination prior to commencement of employment.
 Harlem Children’s Zone is a world-renowned non-profit that is breaking the cycle of generational poverty for more than 28,000 children and adults in Central Harlem and millions more well beyond. HCZ walks hand in hand with young people and their families from cradle to college to career. From our work with public school students and our Promise Academy charter schools to our Healthy Harlem wellness initiative to our family support programs, HCZ goes beyond education to provide children with the academic, personal and career support they need to stay on the path to becoming self-sustaining, successful adults. No other organization uses such a comprehensive approach to fighting poverty, at such a scale or with as much impact. With a generation of proof, our innovative work over the decades has achieved unprecedented results with measurable economic and social impact in Harlem and beyond. We are the preeminent thought leader in the education, youth development and poverty-fighting fields, informing policy and advocating for change at the local, state and national levels. Called by President Obama “one of the most successful anti-poverty programs in history,” we are sharing what we have learned with communities around the country and the world, inspiring widespread replication and changing the lives of millions beyond Harlem.",3.0,Harlem Children's Zone,"New York, NY",1001 - 5000,Civic & Social Services,Nonprofit & NGO,100 - 500,NY,data scientist,associate,0.29

"Sup/Mgr/Sr. Mgr, Analytics & Data Science",140000,"Sup/Mgr/Sr. Mgr, Analytics & Data Science
 Full Time
 Phoenix, AZ
 Manages the day-to-day activities of the Analytics & Data Science department. Serves as the primary contact and resource for staff. Provides oversight, direction, development, problem resolution and leadership for the Analytics & Data Science Team.
 The team’s responsibilities include: transforming data into meaningful and actionable information for various customer segments; performing strategic data analysis to support medical management programs, quality and value-based partnerships, and a strategic and predictable corporate provider reimbursement strategy; establishing measurement standards; and identifying previously unknown relationships among the data for analyses of trends and healthcare issues.",-1.0,MatchPointe Group,"Phoenix, AZ",1 - 50,,,5 - 25,AZ,data scientist,senior,0.04

Machine Learning InfraStructure Engineer,137332,"Client summary
 Machine Learning is the biggest gold rush of the 21st century. Companies are leveraging Machine Learning in all kinds of use cases from driving cars, developing vaccines, and detecting cancer. Yet, deploying Machine Learning is a time-intensive and technical process, creating a high barrier of entry for most companies. Our Client makes deploying Machine Learning as simple as an API. Similar to what Stripe did for the payments world, our client is doing for Machine Learning. ML is becoming a necessary part of any business. We’re seeing this first-hand as we're experiencing explosive growth and we’d love for you to join us!
 We're looking for a Machine Learning Engineer (infra hacker) who has scaled ML systems to 1M + users, is willing to go deep in the weeds on r&d, cares a ton about how backend systems work, has worked on large systems but executes like a startup, fast, ships and iterates. In addition to the hard role requirements, to be a strong fit on our team we are looking for candidates who:",-1.0,JumpSmart,"San Francisco, CA",,,,,CA,mle,,0.19

Statistician,748800,"Company Name: Sciome LLC
 Address: 2 Davis Drive; Research Triangle Park, NC
 Web: www.sciome.com
 Company information:
 Sciome LLC is an innovative research and technology consulting company providing state of the art informatics solutions for the life sciences industry. We specialize in developing and deploying novel bioinformatics, cheminformatics, text mining and data analytics solutions for researchers in government, academic and private sector organizations.
 Job description: Statistician
 Sciome consults with leading researchers across the globe and provides analytics support for experiments generating large volumes of scientific data from a variety of health and environmental projects. Sciome has an opportunity for a Statistician to provide data analytical support for diverse set of studies that investigate the complex relationship between genetic and environmental factors or potential therapeutics on biological systems. Our clients generate massive amounts of scientific data via varied high throughput technologies, and such projects require systematic analysis of multidimensional data using state of the art statistical and machine learning techniques. The candidate will have a unique chance to work with leading scientists having wide ranging perspectives on scientific issues and to progress his/her career in a growing organization.",-1.0,Sciome LLC,"Research Triangle Park, NC",1 - 50,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,,NC,statistician,,0.46

Senior Data Scientist,125075,"Job Summary
 
 Applies highly complex statistical techniques to help solve problems. Provides insights and actionable recommendations to the business. Utilizes highly complex statistical modeling to make predictions about future outcomes and in multiple scenarios. Explains findings to business audience.
 
 Job Responsibilities
 Responsible for applying highly complex advanced data analysis tools and techniques to provide insights and actionable recommendations for the business
 Utilizes highly complex statistical modeling to make predictions about future outcomes and in multiple scenarios.
 Interprets and applies data in highly-complex analyses, and explains findings to business audiences to improve products and processes.
 
 
 
 About Walgreens Boots Alliance
 
 Walgreens Boots Alliance (Nasdaq: WBA) is a global leader in retail pharmacy, impacting millions of lives every day through dispensing medicines, and providing accessible, high-quality care. With more than 170 years of trusted healthcare heritage and innovation in community pharmacy, the company is meeting customers’ and patients’ needs through its convenient retail locations, digital platforms and health and beauty products.
 
 Including equity method investments, WBA has a presence in more than 25 countries, employs more than 450,000 people and has more than 21,000 stores.
 
 WBA’s purpose is to help people across the world lead healthier and happier lives. The company is proud of its contributions to healthy communities, a healthy planet, an inclusive workplace and a sustainable marketplace. WBA is a participant of the United Nations Global Compact and adheres to its principles-based approach to responsible business.
 
 WBA is included in FORTUNE’s 2021 list of the World’s Most Admired Companies*. This is the 28th consecutive year that WBA or its predecessor company, Walgreen Co., has been named to the list.
 
 More company information is available at www.walgreensbootsalliance.com.",3.1,WALGREENS,"Chicago, IL",10000+,Drug & Health Stores,Retail & Wholesale,10000+,IL,data scientist,senior,0.35

Data Scientist,80000,"Lymba Corporation, a NLP Software Company located in the Dallas area is seeking a highly skilled and motivated Data Scientist to conduct development in human language technology and human-computer interaction.
 Responsibilities:
 · Train and evaluate Lymba’ s NLP Systems
 · Participate in data collection, data analysis, creating benchmarks, etc.
 · Closely work with researchers and engineers
 · Propose solutions for resolving issues",3.5,Lymba Corporation,"Richardson, TX",51 - 200,Enterprise Software & Network Solutions,Information Technology,5 - 25,TX,data scientist,,0.44

Data Scientist,130350,"Work Mode:
 Onsite
 Responsibilities:
 1.Join a highly skilled data science team to mine through data to identify data-driven opportunities in game production, publishing and live-ops
 2.Work with large datasets and apply advanced analytic methods to solve challenging problems and to deliver scalable solutions.
 3.Establish scalable, efficient, automated processes and provide end-to-end data products with large-scale data analysis, A/B testing, machine/deep learning model development, validation and serving.
 4.Interact cross-functionally with various teams and provide actionable business insights for stakeholders.
 5.Research new machine learning approaches.
 1.Join a highly skilled data science team to mine through data to identify data-driven opportunities in game production, publishing and live-ops
 2.Work with large datasets and apply advanced analytic methods to solve challenging problems and to deliver scalable solutions.
 3.Establish scalable, efficient, automated processes and provide end-to-end data products with large-scale data analysis, A/B testing, machine/deep learning model development, validation and serving.
 4.Interact cross-functionally with various teams and provide actionable business insights for stakeholders.
 5.Research new machine learning approaches.
 1.MS/PhD degree in a quantitative field - Computer Science, Operational Research, Mathematics, Statistics, Economics or related fields. Ph.D. with Strong publication record preferred;2.3+ years of experience of building machine learning models for business applications;3. Deep and extensive knowledge in one or more of the following areas: Deep Learning, Reinforcement Learning, Statistical Analysis, NLP, Computer Vision, Recommendation System, Big Data technologies, and any other data science related domains.4.Expert in statistical analysis (probabilities, hypothesis testing, multivariate analysis, time series analysis, generalized linear model, A/B experiments) ;5.Proficient in SQL and Python, Java, C++ or related programming languages;6.Experience with Big Data technologies such as Hadoop, Spark, Pig, Hive, etc. is preferred.7.Ability to understand complex subjects clearly and proposing actionable data-driven solutions to them. Good business acumen and communication skills is a plus.
 
 California
 The base pay range for this position in the state(s) above is $81,400 to $179,300 per year. Actual pay is based on market location and may vary depending on job-related knowledge, skills, and experience. A sign on payment, relocation package, and restricted stock units may be provided as part of the compensation package, as well as other medical, financial, and/or other benefits, dependent on the specific position offered.",4.1,Tencent,"Palo Alto, CA",10000+,Internet & Web Services,Information Technology,,CA,data scientist,,0.25

AI Machine Learning Scientist Associate,114603,"Location: Hybrid Work environment in Surrounding Chicago, New York City, or New Jersey Area
 Hours: M- F Standard Working Hours
 Travel: No Travel
 
 Position Overview:
 Responsible for junior level Artificial Intelligence (AI) scientific and statistical methods to assist with product creation, development and improvement.
 How You Will Make an Impact:",3.7,Elevance Health,"Chicago, IL",10000+,Health Care Services & Hospitals,Healthcare,10000+,IL,mle,associate,0.4

Data Scientist Position in Clinical Data Science,97406,"Data Scientist Position in Clinical Data Science
 - (3237368)
 
 Data Scientist Position in Clinical Data Science
 https://clai.mgh.harvard.edu/
 The Clinical Augmented Intelligence Group (CLAI) is seeking a Data Scientist with strong Machine Learning background. Our group conducts research at the intersection of computational sciences and health. Led by Dr. Hossein Estiri, CLAI resides within the Massachusetts General Hospital (MGH) Department of Medicine. As the largest hospital-based research program in the world, MGH enables CLAI research to leverage state-of-the-art large-scale clinical data for developing specialized AL/ML methods to enrich human phenotype models. This position is initially available for one year with a possible extension for up to three years based on performance evaluation. Salary will be commensurate with the candidate’s experience and qualifications. Responsibilities",4.0,Massachusetts General Hospital(MGH),"Somerville, MA",10000+,Health Care Services & Hospitals,Healthcare,1000 - 5000,MA,data scientist,,0.11

Mid-Level Data Scientist,92500,"Location and Travel Details: Dayton or Cincinnati area preferred, remote considered
 Join our Data Science Team! Our collaborative and diverse data science team has experience that spans many industries including energy, retail, healthcare, and DoD. Our projects have ranged from natural language processing (NLP) and text analytics to machine learning, predictive analytics, and simulation modeling. We are looking for a data scientist who is career-oriented and eager to grow their skills. The ideal candidate will bring innovative use of scientific research concepts, principles, and practices and will contribute to the application of advanced data science methods and techniques.
 Do you have what it takes? Are you driven to implement creative solutions that unravel complex and ever-changing challenges? We value passion, curiosity, and perseverance with an ability to communicate ideas and results to diverse audiences. We look for people who thrive in collaborative and independent assignments, have the aptitude to learn new data quickly, and who are willing to mentor junior team members. Required skills for this job include:",-1.0,Illumination Works,Remote,51 - 200,Information Technology Support Services,Information Technology,,Remote,data scientist,,0.35

Machine Learning Research Scientist - Atlas Perception,116657,"Do you have a passion for applying state-of-the-art deep learning techniques to solve real problems in robotics? As a Research Scientist on the Atlas Perception team, you will play a key role solving the uniquely challenging perception problems in humanoid robotics, including scene understanding, localization, object pose estimation, and terrain prediction. You will work closely with software, mechanical, and electrical engineers to research, develop, and test new robot technologies for Atlas and other R&D efforts at Boston Dynamics.
 As a leader in the field you will shape novel ML perception techniques to drastically improve the utility of mobile robots by enabling them to effectively interact with the world around them.
 How you will make an impact:
 Identify high impact areas where deep learning can be applied to solve real problems for our robots
 Research and evaluate new ML architectures to solve novel vision problems",4.7,Boston Dynamics,"Waltham, MA",201 - 500,Computer Hardware Development,Information Technology,5 - 25,MA,mle,,0.37

Associate Data Scientist,81450,"General information
 All posting locations: USA-IL, , United States of America
 Job Function: 16 - Digital
 Date Published: 20-Mar-2023
 Ref #: R-68013
 Base Salary Range: $72,400.00 - $90,500.00
 Target Total Cash Range: $86,880.00 - $108,600.00
 Target total cash represents this role's annualized cash earning potential at target (base salary + target bonus). Target total cash is contingent on targeted company performance achievement and individual attainment of performance goals. Therefore, target total cash is not guaranteed earnings.",3.4,Kraft Heinz Company,Illinois,10000+,Food & Beverage Manufacturing,Manufacturing,10000+,IL,data scientist,associate,0.25

Data Science Co-op,91262,"Our student and new graduate programs offer a chance to explore Sun Life from the inside. You’ll make a difference in the lives of our customers and communities, while building the skills and experience that allow you to grow in a meaningful and rewarding way.
 Job Description:
 You are as unique as your background, experience and point of view. Here, you’ll be encouraged, empowered and challenged to be your best self. You'll work with dynamic colleagues - experts in their fields - who are eager to share their knowledge with you. Your leaders will inspire and help you reach your potential and soar to new heights. Every day, you'll have new and exciting opportunities to make life brighter for our Clients - who are at the heart of everything we do. Discover how you can make a difference in the lives of individuals, families and communities around the world.
 What’s it like to work at Sun Life?
 Temporary Employee
 20/04/2023",3.8,Sun Life,"Wellesley Hills, MA",10000+,Insurance Carriers,Insurance,10000+,MA,data scientist,,0.45

Sr. Data Scientist,107469,"Become a Part of the NIKE, Inc. Team
 NIKE, Inc. does more than outfit the world’s best athletes. It is a place to explore potential, obliterate boundaries and push out the edges of what can be. The company looks for people who can grow, think, dream and create. Its culture thrives by embracing diversity and rewarding imagination. The brand seeks achievers, leaders and visionaries. At NIKE, Inc. it’s about each person bringing skills and passion to a challenging and constantly evolving game.
 NIKE is a technology company. From our flagship website and five-star mobile apps to developing products, managing big data and providing leading edge engineering and systems support, our teams at NIKE Global Technology exist to revolutionize the future at the confluence of tech and sport. We invest and develop advances in technology and employ the most creative people in the world, and then give them the support to constantly innovate, iterate and serve consumers more directly and personally. Our teams are innovative, diverse, multidisciplinary and collaborative, taking technology into the future and bringing the world with it.",4.1,Nike,"Beaverton, OR",10000+,Consumer Product Manufacturing,Manufacturing,10000+,OR,data scientist,senior,0.31

Machine Learning Engineer,100000,"Job Title : AI Engineer / Architect with Experience in Edtech or Gaming Industry
